Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,100293,-,-,-,35.69,-105.94,-7,2166,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,
2012,1,1,0,0,0,0,0,0.149,1.1,44.01,-3,790,N/A
2012,1,1,0,30,0,0,0,0.149,1,44.02,-3,790,N/A
2012,1,1,1,0,0,0,0,0.149,1,41.67,-3,790,N/A
2012,1,1,1,30,0,0,0,0.149,0.9,41.67,-3,790,N/A
2012,1,1,2,0,0,0,0,0.149,0.9,40.45,-3,790,N/A
2012,1,1,2,30,0,0,0,0.149,0.8,40.45,-3,790,N/A
2012,1,1,3,0,0,0,0,0.149,0.8,39.94,-3,790,N/A
2012,1,1,3,30,0,0,0,0.149,0.7000000000000001,39.95,-3,790,N/A
2012,1,1,4,0,0,0,0,0.149,0.7000000000000001,39.800000000000004,-3,790,N/A
2012,1,1,4,30,0,0,0,0.149,0.6000000000000001,39.81,-3,790,N/A
2012,1,1,5,0,0,0,0,0.149,0.6000000000000001,40.25,-3,790,N/A
2012,1,1,5,30,0,0,0,0.149,0.5,40.26,-3,790,N/A
2012,1,1,6,0,0,0,0,0.149,0.4,40.59,-3,790,N/A
2012,1,1,6,30,0,0,0,0.149,0.30000000000000004,40.6,-2,790,N/A
2012,1,1,7,0,0,0,0,0.149,0.30000000000000004,43.14,-2,790,N/A
2012,1,1,7,30,14,354,27,0.149,0.30000000000000004,37.24,-1,790,N/A
2012,1,1,8,0,29,628,107,0.149,0.30000000000000004,39.78,0,790,N/A
2012,1,1,8,30,38,769,198,0.149,0.2,37.03,1,790,N/A
2012,1,1,9,0,45,851,286,0.149,0.2,27.95,2,790,N/A
2012,1,1,9,30,143,303,249,0.149,0.7000000000000001,26.03,3,790,N/A
2012,1,1,10,0,160,391,320,0.149,1.2000000000000002,21.6,5,790,N/A
2012,1,1,10,30,189,370,357,0.149,1.5,20.14,6,790,N/A
2012,1,1,11,0,57,983,537,0.149,1.9000000000000001,19.92,7,790,N/A
2012,1,1,11,30,59,994,566,0.149,2,19.91,7,790,N/A
2012,1,1,12,0,58,1000,578,0.149,2.3000000000000003,20.41,8,790,N/A
2012,1,1,12,30,58,999,574,0.149,2.3000000000000003,20.41,8,790,N/A
2012,1,1,13,0,57,993,554,0.149,2.4000000000000004,22.580000000000002,9,790,N/A
2012,1,1,13,30,56,980,518,0.149,2.2,22.580000000000002,8,790,N/A
2012,1,1,14,0,53,962,468,0.149,2.1,25.55,8,790,N/A
2012,1,1,14,30,50,931,404,0.149,1.6,27.35,7,790,N/A
2012,1,1,15,0,46,887,328,0.149,1.1,37.45,6,790,N/A
2012,1,1,15,30,41,819,242,0.149,1.1,46.18,4,790,N/A
2012,1,1,16,0,33,710,151,0.149,1.1,49.56,2,790,N/A
2012,1,1,16,30,22,515,63,0.149,1.1,53.28,1,790,N/A
2012,1,1,17,0,0,0,0,0.149,1.1,47.06,0,790,N/A
2012,1,1,17,30,0,0,0,0.149,1.1,47.06,0,790,N/A
2012,1,1,18,0,0,0,0,0.149,1.2000000000000002,47.01,0,790,N/A
2012,1,1,18,30,0,0,0,0.149,1.2000000000000002,47.02,0,790,N/A
2012,1,1,19,0,0,0,0,0.149,1.2000000000000002,47.39,0,790,N/A
2012,1,1,19,30,0,0,0,0.149,1.2000000000000002,47.39,0,790,N/A
2012,1,1,20,0,0,0,0,0.149,1.2000000000000002,51.63,-1,790,N/A
2012,1,1,20,30,0,0,0,0.149,1.2000000000000002,51.64,-1,790,N/A
2012,1,1,21,0,0,0,0,0.149,1.2000000000000002,52.1,-1,790,N/A
2012,1,1,21,30,0,0,0,0.149,1.2000000000000002,52.1,-1,790,N/A
2012,1,1,22,0,0,0,0,0.149,1.2000000000000002,56.13,-1,790,N/A
2012,1,1,22,30,0,0,0,0.149,1.2000000000000002,56.13,-1,790,N/A
2012,1,1,23,0,0,0,0,0.149,1.2000000000000002,55.86,-2,790,N/A
2012,1,1,23,30,0,0,0,0.149,1.1,55.86,-2,790,N/A
2012,1,2,0,0,0,0,0,0.149,1.1,55.19,-2,790,N/A
2012,1,2,0,30,0,0,0,0.149,1.1,55.19,-2,790,N/A
2012,1,2,1,0,0,0,0,0.149,1.1,54.43,-2,790,N/A
2012,1,2,1,30,0,0,0,0.149,1.1,54.43,-2,790,N/A
2012,1,2,2,0,0,0,0,0.149,1.1,53.910000000000004,-2,790,N/A
2012,1,2,2,30,0,0,0,0.149,1.1,53.910000000000004,-2,790,N/A
2012,1,2,3,0,0,0,0,0.149,1.1,53.61,-2,790,N/A
2012,1,2,3,30,0,0,0,0.149,1.1,53.61,-2,790,N/A
2012,1,2,4,0,0,0,0,0.149,1.1,53.5,-2,790,N/A
2012,1,2,4,30,0,0,0,0.149,1.1,53.51,-2,790,N/A
2012,1,2,5,0,0,0,0,0.149,1.1,53.550000000000004,-2,790,N/A
2012,1,2,5,30,0,0,0,0.149,1.1,53.56,-2,790,N/A
