Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1173581,-,-,-,43.05,-76.18,-5,127,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,
2017,1,1,0,0,0,0,0,0,0.866,1.2000000000000002,100,1,990,N/A
2017,1,1,0,30,0,0,0,0,0.866,1.2000000000000002,100,1,990,N/A
2017,1,1,1,0,0,0,0,0,0.866,1.4000000000000001,100,1,990,N/A
2017,1,1,1,30,0,0,0,0,0.866,1.5,100,0,990,N/A
2017,1,1,2,0,0,0,0,0,0.866,1.7000000000000002,95.81,0,990,N/A
2017,1,1,2,30,0,0,0,0,0.866,1.7000000000000002,95.89,0,990,N/A
2017,1,1,3,0,0,0,0,-2,0.866,1.7000000000000002,90.07000000000001,0,990,N/A
2017,1,1,3,30,0,0,0,-2,0.866,1.5,90.13,0,1000,N/A
2017,1,1,4,0,0,0,0,-3,0.866,1.4000000000000001,85.08,-1,1000,N/A
2017,1,1,4,30,0,0,0,-3,0.866,1.2000000000000002,85.13,-1,1000,N/A
2017,1,1,5,0,0,0,0,-3,0.866,1.2000000000000002,90.34,-1,1000,N/A
2017,1,1,5,30,0,0,0,-3,0.866,1.1,90.38,-1,1000,N/A
2017,1,1,6,0,0,0,0,-3,0.866,1,89.98,-1,1000,N/A
2017,1,1,6,30,0,0,0,-3,0.866,0.9,90.02,-1,1000,N/A
2017,1,1,7,0,0,0,0,-3,0.866,0.8,88.87,-2,1000,N/A
2017,1,1,7,30,0,0,0,-3,0.866,0.7000000000000001,88.93,-1,1000,N/A
2017,1,1,8,0,23,0,23,-3,0.866,0.7000000000000001,89.38,-1,1000,N/A
2017,1,1,8,30,51,177,73,-3,0.866,0.7000000000000001,83.12,0,1000,N/A
2017,1,1,9,0,79,266,130,-2,0.866,0.7000000000000001,89.39,0,1000,N/A
2017,1,1,9,30,100,335,185,-2,0.866,0.8,83.17,0,1000,N/A
2017,1,1,10,0,115,397,235,-1,0.866,0.9,87,0,1000,N/A
2017,1,1,10,30,129,426,277,-1,0.866,0.9,87.02,0,1000,N/A
2017,1,1,11,0,111,523,308,-1,0.866,1,87.27,1,1000,N/A
2017,1,1,11,30,111,760,413,-1,0.866,0.9,87.27,1,1000,N/A
2017,1,1,12,0,105,792,427,-1,0.866,0.9,80.41,1,1000,N/A
2017,1,1,12,30,104,790,424,-1,0.866,0.8,80.42,1,1000,N/A
2017,1,1,13,0,103,591,334,-2,0.866,0.8,80.2,2,1000,N/A
2017,1,1,13,30,80,659,321,-2,0.866,0.7000000000000001,80.22,2,1000,N/A
2017,1,1,14,0,85,606,284,-2,0.866,0.6000000000000001,80.09,2,1010,N/A
2017,1,1,14,30,69,741,279,-2,0.866,0.5,86.10000000000001,1,1010,N/A
2017,1,1,15,0,58,687,215,-1,0.866,0.4,88.36,1,1010,N/A
2017,1,1,15,30,46,587,142,-1,0.866,0.6000000000000001,88.38,0,1010,N/A
2017,1,1,16,0,30,435,70,-4,0.866,0.9,78.75,0,1010,N/A
2017,1,1,16,30,0,0,0,-4,0.866,0.9,78.8,-1,1010,N/A
2017,1,1,17,0,0,0,0,-4,0.866,0.9,80.39,-2,1010,N/A
2017,1,1,17,30,0,0,0,-4,0.866,0.9,80.42,-2,1010,N/A
2017,1,1,18,0,0,0,0,-5,0.866,0.9,83.78,-3,1010,N/A
2017,1,1,18,30,0,0,0,-5,0.866,0.8,83.79,-3,1010,N/A
2017,1,1,19,0,0,0,0,-5,0.866,0.8,87.29,-3,1010,N/A
2017,1,1,19,30,0,0,0,-5,0.866,0.7000000000000001,87.3,-3,1010,N/A
2017,1,1,20,0,0,0,0,-6,0.866,0.7000000000000001,85.45,-4,1010,N/A
2017,1,1,20,30,0,0,0,-6,0.866,0.6000000000000001,85.47,-3,1010,N/A
2017,1,1,21,0,0,0,0,-5,0.866,0.6000000000000001,86.44,-3,1010,N/A
2017,1,1,21,30,0,0,0,-5,0.866,0.7000000000000001,80.23,-2,1010,N/A
2017,1,1,22,0,0,0,0,-5,0.866,0.8,82.76,-2,1010,N/A
2017,1,1,22,30,0,0,0,-5,0.866,0.8,82.76,-2,1010,N/A
2017,1,1,23,0,0,0,0,-5,0.866,0.8,85.38,-2,1010,N/A
2017,1,1,23,30,0,0,0,-5,0.866,0.7000000000000001,85.38,-2,1010,N/A
2017,1,2,0,0,0,0,0,-5,0.866,0.7000000000000001,85.86,-2,1010,N/A
2017,1,2,0,30,0,0,0,-5,0.866,0.7000000000000001,85.87,-2,1010,N/A
2017,1,2,1,0,0,0,0,-5,0.866,0.7000000000000001,85.36,-2,1010,N/A
2017,1,2,1,30,0,0,0,-5,0.866,0.7000000000000001,85.38,-2,1010,N/A
2017,1,2,2,0,0,0,0,-5,0.866,0.7000000000000001,84.53,-3,1010,N/A
2017,1,2,2,30,0,0,0,-5,0.866,0.7000000000000001,84.52,-3,1010,N/A
2017,1,2,3,0,0,0,0,-5,0.866,0.7000000000000001,88.61,-3,1010,N/A
2017,1,2,3,30,0,0,0,-5,0.866,0.7000000000000001,88.60000000000001,-3,1010,N/A
2017,1,2,4,0,0,0,0,-6,0.866,0.7000000000000001,91.26,-4,1010,N/A
2017,1,2,4,30,0,0,0,-6,0.866,0.7000000000000001,91.27,-4,1010,N/A
2017,1,2,5,0,0,0,0,-6,0.866,0.7000000000000001,87.64,-5,1010,N/A
2017,1,2,5,30,0,0,0,-6,0.866,0.7000000000000001,87.66,-5,1010,N/A
2017,1,2,6,0,0,0,0,-7,0.866,0.7000000000000001,91.83,-5,1010,N/A
2017,1,2,6,30,0,0,0,-7,0.866,0.7000000000000001,91.85000000000001,-5,1010,N/A
2017,1,2,7,0,0,0,0,-7,0.866,0.8,90.51,-5,1010,N/A
2017,1,2,7,30,0,0,0,-7,0.866,0.8,83.89,-4,1010,N/A
2017,1,2,8,0,18,0,18,-6,0.866,0.9,89.38,-4,1010,N/A
2017,1,2,8,30,45,82,55,-6,0.866,0.9,76.94,-2,1010,N/A
2017,1,2,9,0,75,107,96,-4,0.866,0.9,83.43,-1,1010,N/A
2017,1,2,9,30,102,126,134,-4,0.866,0.8,77.52,0,1010,N/A
2017,1,2,10,0,128,130,167,-2,0.866,0.8,83.94,0,1010,N/A
2017,1,2,10,30,145,147,196,-2,0.866,0.8,83.91,1,1010,N/A
2017,1,2,11,0,160,96,196,-1,0.866,0.9,86.02,2,1010,N/A
2017,1,2,11,30,174,88,209,-1,0.866,1,85.98,2,1010,N/A
2017,1,2,12,0,169,250,271,0,0.866,1.1,83.8,3,1010,N/A
2017,1,2,12,30,179,221,269,0,0.866,1.1,83.77,2,1010,N/A
2017,1,2,13,0,93,0,93,0,0.866,1.1,85.75,2,1010,N/A
2017,1,2,13,30,132,7,134,0,0.866,1,92.11,2,1010,N/A
2017,1,2,14,0,117,1,117,0,0.866,1,93.64,2,1010,N/A
2017,1,2,14,30,97,0,97,0,0.866,1,93.63,2,1010,N/A
2017,1,2,15,0,73,0,73,0,0.866,1,94.2,2,1010,N/A
2017,1,2,15,30,48,0,48,0,0.866,1,94.19,1,1010,N/A
2017,1,2,16,0,23,0,23,0,0.866,1.1,93.67,1,1010,N/A
2017,1,2,16,30,0,0,0,0,0.866,1.1,100,1,1010,N/A
2017,1,2,17,0,0,0,0,0,0.866,1.2000000000000002,100,1,1010,N/A
2017,1,2,17,30,0,0,0,0,0.866,1.2000000000000002,100,1,1010,N/A
2017,1,2,18,0,0,0,0,0,0.866,1.3,100,1,1010,N/A
2017,1,2,18,30,0,0,0,0,0.866,1.3,100,1,1010,N/A
2017,1,2,19,0,0,0,0,0,0.866,1.3,100,1,1010,N/A
2017,1,2,19,30,0,0,0,0,0.866,1.2000000000000002,100,1,1010,N/A
2017,1,2,20,0,0,0,0,0,0.866,1.2000000000000002,100,1,1010,N/A
2017,1,2,20,30,0,0,0,0,0.866,1.2000000000000002,100,1,1010,N/A
2017,1,2,21,0,0,0,0,0,0.866,1.2000000000000002,99.53,1,1010,N/A
2017,1,2,21,30,0,0,0,0,0.866,1.2000000000000002,99.46000000000001,1,1010,N/A
2017,1,2,22,0,0,0,0,0,0.866,1.4000000000000001,98.44,1,1010,N/A
2017,1,2,22,30,0,0,0,0,0.866,1.4000000000000001,98.36,1,1000,N/A
2017,1,2,23,0,0,0,0,0,0.866,1.5,97.76,1,1000,N/A
2017,1,2,23,30,0,0,0,0,0.866,1.4000000000000001,97.73,1,1000,N/A
2017,1,3,0,0,0,0,0,0,0.866,1.3,98.14,1,1000,N/A
2017,1,3,0,30,0,0,0,0,0.866,1.3,98.12,1,1000,N/A
2017,1,3,1,0,0,0,0,0,0.866,1.3,99.46000000000001,1,1000,N/A
2017,1,3,1,30,0,0,0,0,0.866,1.3,99.41,1,1000,N/A
2017,1,3,2,0,0,0,0,0,0.866,1.3,100,1,1000,N/A
2017,1,3,2,30,0,0,0,0,0.866,1.3,100,1,1000,N/A
2017,1,3,3,0,0,0,0,0,0.866,1.3,100,1,1000,N/A
2017,1,3,3,30,0,0,0,0,0.866,1.3,100,1,1000,N/A
2017,1,3,4,0,0,0,0,0,0.866,1.3,96.86,1,1000,N/A
2017,1,3,4,30,0,0,0,0,0.866,1.3,96.81,1,1000,N/A
2017,1,3,5,0,0,0,0,0,0.866,1.3,98.34,2,1000,N/A
2017,1,3,5,30,0,0,0,0,0.866,1.3,98.3,2,1000,N/A
2017,1,3,6,0,0,0,0,0,0.866,1.4000000000000001,99.56,2,1000,N/A
2017,1,3,6,30,0,0,0,0,0.866,1.4000000000000001,99.51,2,1000,N/A
2017,1,3,7,0,0,0,0,1,0.866,1.5,100,2,1000,N/A
2017,1,3,7,30,0,0,0,1,0.866,1.5,100,2,1000,N/A
2017,1,3,8,0,8,0,8,1,0.866,1.6,100,2,1000,N/A
2017,1,3,8,30,27,0,27,1,0.866,1.5,100,2,1000,N/A
2017,1,3,9,0,48,0,48,1,0.866,1.4000000000000001,100,2,1000,N/A
2017,1,3,9,30,69,0,69,1,0.866,1.2000000000000002,100,2,990,N/A
2017,1,3,10,0,87,0,87,1,0.866,1.2000000000000002,96.27,2,990,N/A
2017,1,3,10,30,103,0,103,1,0.866,1.1,96.19,2,990,N/A
2017,1,3,11,0,124,0,124,1,0.866,1.1,97.21000000000001,3,990,N/A
2017,1,3,11,30,153,23,163,1,0.866,1,97.12,3,990,N/A
2017,1,3,12,0,103,0,103,1,0.866,1,97.93,3,990,N/A
