SiteID,1247689,Site Timezone,-6,Data Timezone,-6,Longitude,-96.7897949219,Latitude,32.7894172668
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),air temperature at 100m (C)
2009,1,1,0,0,9.42,4.01
2009,1,1,0,5,9.53,3.97
2009,1,1,0,10,9.63,3.94
2009,1,1,0,15,9.71,3.91
2009,1,1,0,20,9.72,3.86
2009,1,1,0,25,9.67,3.8200000000000003
2009,1,1,0,30,9.63,3.7600000000000002
2009,1,1,0,35,9.61,3.7
2009,1,1,0,40,9.620000000000001,3.64
2009,1,1,0,45,9.6,3.5700000000000003
2009,1,1,0,50,9.56,3.5
2009,1,1,0,55,9.56,3.42
2009,1,1,1,0,9.55,3.36
2009,1,1,1,5,9.49,3.29
2009,1,1,1,10,9.41,3.22
2009,1,1,1,15,9.290000000000001,3.17
2009,1,1,1,20,9.16,3.12
2009,1,1,1,25,9.1,3.06
2009,1,1,1,30,9,2.99
2009,1,1,1,35,8.9,2.93
2009,1,1,1,40,8.84,2.88
2009,1,1,1,45,8.85,2.85
2009,1,1,1,50,8.88,2.82
2009,1,1,1,55,8.870000000000001,2.79
2009,1,1,2,0,8.91,2.77
2009,1,1,2,5,8.94,2.73
2009,1,1,2,10,8.93,2.69
2009,1,1,2,15,8.86,2.65
2009,1,1,2,20,8.8,2.62
2009,1,1,2,25,8.78,2.58
2009,1,1,2,30,8.77,2.54
2009,1,1,2,35,8.74,2.49
2009,1,1,2,40,8.69,2.45
2009,1,1,2,45,8.65,2.4
2009,1,1,2,50,8.59,2.35
2009,1,1,2,55,8.51,2.29
2009,1,1,3,0,8.45,2.24
2009,1,1,3,5,8.45,2.19
2009,1,1,3,10,8.47,2.14
2009,1,1,3,15,8.47,2.09
2009,1,1,3,20,8.47,2.05
2009,1,1,3,25,8.48,2
2009,1,1,3,30,8.540000000000001,1.96
2009,1,1,3,35,8.6,1.92
2009,1,1,3,40,8.65,1.8900000000000001
2009,1,1,3,45,8.73,1.87
2009,1,1,3,50,8.83,1.84
2009,1,1,3,55,8.93,1.8
2009,1,1,4,0,9.040000000000001,1.77
2009,1,1,4,5,9.120000000000001,1.75
2009,1,1,4,10,9.200000000000001,1.72
2009,1,1,4,15,9.33,1.69
2009,1,1,4,20,9.43,1.6600000000000001
2009,1,1,4,25,9.49,1.61
2009,1,1,4,30,9.56,1.57
2009,1,1,4,35,9.59,1.52
2009,1,1,4,40,9.56,1.47
