SiteID,1629865,Site Timezone,-6,Data Timezone,-6,Longitude,-89.3495788574,Latitude,40.2156600952
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),air temperature at 100m (C)
2012,1,1,0,0,13.21,6.5200000000000005
2012,1,1,0,5,13.14,6.49
2012,1,1,0,10,13.09,6.47
2012,1,1,0,15,13.08,6.44
2012,1,1,0,20,12.99,6.43
2012,1,1,0,25,13.040000000000001,6.43
2012,1,1,0,30,13.15,6.43
2012,1,1,0,35,13.3,6.45
2012,1,1,0,40,13.44,6.46
2012,1,1,0,45,13.48,6.46
2012,1,1,0,50,13.63,6.48
2012,1,1,0,55,13.8,6.5
2012,1,1,1,0,14.01,6.5200000000000005
2012,1,1,1,5,14.06,6.53
2012,1,1,1,10,13.75,6.51
2012,1,1,1,15,13.66,6.49
2012,1,1,1,20,13.44,6.44
2012,1,1,1,25,13.4,6.390000000000001
2012,1,1,1,30,13.39,6.34
2012,1,1,1,35,13.25,6.29
2012,1,1,1,40,13.1,6.26
2012,1,1,1,45,12.98,6.23
2012,1,1,1,50,13.01,6.2
2012,1,1,1,55,13.08,6.16
2012,1,1,2,0,13.06,6.09
2012,1,1,2,5,12.93,6.03
2012,1,1,2,10,12.74,5.95
2012,1,1,2,15,12.48,5.87
2012,1,1,2,20,12.36,5.79
2012,1,1,2,25,12.33,5.69
2012,1,1,2,30,12.35,5.5600000000000005
2012,1,1,2,35,12.34,5.42
2012,1,1,2,40,12.25,5.2700000000000005
2012,1,1,2,45,12.24,5.12
2012,1,1,2,50,12.370000000000001,4.97
2012,1,1,2,55,12.530000000000001,4.8100000000000005
2012,1,1,3,0,12.72,4.66
2012,1,1,3,5,13.01,4.5
2012,1,1,3,10,13.19,4.33
2012,1,1,3,15,13.18,4.16
2012,1,1,3,20,13.22,3.99
2012,1,1,3,25,13.200000000000001,3.83
2012,1,1,3,30,13.14,3.66
2012,1,1,3,35,13.030000000000001,3.46
2012,1,1,3,40,12.94,3.27
2012,1,1,3,45,12.92,3.08
2012,1,1,3,50,12.89,2.92
2012,1,1,3,55,12.81,2.8000000000000003
