SiteID,1942204,Site Timezone,-5,Data Timezone,-5,Longitude,-82.5199890137,Latitude,40.7568778992
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),air temperature at 100m (C)
2007,1,1,0,0,11.98,9.25
2007,1,1,0,5,11.91,9.17
2007,1,1,0,10,11.790000000000001,9.11
2007,1,1,0,15,11.64,9.05
2007,1,1,0,20,11.44,8.97
2007,1,1,0,25,11.43,8.9
2007,1,1,0,30,11.64,8.82
2007,1,1,0,35,11.85,8.74
2007,1,1,0,40,11.83,8.66
2007,1,1,0,45,11.63,8.56
2007,1,1,0,50,11.42,8.48
2007,1,1,0,55,11.28,8.38
2007,1,1,1,0,11.15,8.28
2007,1,1,1,5,11.03,8.19
2007,1,1,1,10,10.950000000000001,8.1
2007,1,1,1,15,10.84,8.03
2007,1,1,1,20,10.83,7.98
2007,1,1,1,25,10.870000000000001,7.95
2007,1,1,1,30,10.97,7.930000000000001
2007,1,1,1,35,11.11,7.91
2007,1,1,1,40,11.07,7.88
2007,1,1,1,45,11,7.84
2007,1,1,1,50,10.98,7.79
2007,1,1,1,55,10.91,7.73
2007,1,1,2,0,10.85,7.65
2007,1,1,2,5,10.8,7.57
2007,1,1,2,10,10.67,7.48
2007,1,1,2,15,10.55,7.390000000000001
2007,1,1,2,20,10.49,7.3100000000000005
2007,1,1,2,25,10.52,7.25
2007,1,1,2,30,10.64,7.19
2007,1,1,2,35,10.61,7.12
2007,1,1,2,40,10.58,7.0200000000000005
2007,1,1,2,45,10.59,6.94
2007,1,1,2,50,10.63,6.86
2007,1,1,2,55,10.700000000000001,6.79
2007,1,1,3,0,10.77,6.74
2007,1,1,3,5,10.91,6.68
2007,1,1,3,10,11,6.61
2007,1,1,3,15,11.02,6.53
2007,1,1,3,20,11.08,6.45
2007,1,1,3,25,11.21,6.38
2007,1,1,3,30,11.26,6.32
2007,1,1,3,35,11.17,6.25
2007,1,1,3,40,11.06,6.18
2007,1,1,3,45,10.96,6.13
2007,1,1,3,50,10.94,6.07
2007,1,1,3,55,10.89,6.01
2007,1,1,4,0,10.85,5.95
2007,1,1,4,5,10.84,5.91
2007,1,1,4,10,10.91,5.88
2007,1,1,4,15,11.02,5.87
2007,1,1,4,20,11.120000000000001,5.8500000000000005
2007,1,1,4,25,11.25,5.82
2007,1,1,4,30,11.4,5.7700000000000005
2007,1,1,4,35,11.61,5.74
2007,1,1,4,40,11.73,5.73
2007,1,1,4,45,11.69,5.75
2007,1,1,4,50,11.55,5.74
2007,1,1,4,55,11.55,5.69
2007,1,1,5,0,11.700000000000001,5.59
2007,1,1,5,5,11.790000000000001,5.47
2007,1,1,5,10,11.82,5.36
2007,1,1,5,15,11.8,5.2700000000000005
2007,1,1,5,20,11.76,5.18
2007,1,1,5,25,11.72,5.11
2007,1,1,5,30,11.700000000000001,5.05
2007,1,1,5,35,11.74,4.98
2007,1,1,5,40,11.75,4.92
2007,1,1,5,45,11.73,4.8500000000000005
2007,1,1,5,50,11.66,4.78
2007,1,1,5,55,11.55,4.71
2007,1,1,6,0,11.44,4.63
2007,1,1,6,5,11.36,4.55
2007,1,1,6,10,11.28,4.48
2007,1,1,6,15,11.24,4.4
2007,1,1,6,20,11.19,4.32
2007,1,1,6,25,11.14,4.24
2007,1,1,6,30,11.08,4.15
2007,1,1,6,35,11.040000000000001,4.08
2007,1,1,6,40,11.040000000000001,4.01
2007,1,1,6,45,11.040000000000001,3.95
2007,1,1,6,50,11,3.89
2007,1,1,6,55,10.89,3.83
2007,1,1,7,0,10.78,3.7600000000000002
2007,1,1,7,5,10.72,3.68
2007,1,1,7,10,10.73,3.6
2007,1,1,7,15,10.77,3.52
2007,1,1,7,20,10.81,3.44
2007,1,1,7,25,10.8,3.36
2007,1,1,7,30,10.78,3.29
2007,1,1,7,35,10.790000000000001,3.22
2007,1,1,7,40,10.85,3.16
