SiteID,321568,Site Timezone,-8,Data Timezone,-8,Longitude,-117.043716431,Latitude,34.8899917603
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),air temperature at 100m (C)
2011,1,1,0,0,6.68,0.26
2011,1,1,0,5,6.65,0.22
2011,1,1,0,10,6.59,0.14
2011,1,1,0,15,6.49,0.05
2011,1,1,0,20,6.390000000000001,-0.05
2011,1,1,0,25,6.3,-0.14
2011,1,1,0,30,6.22,-0.21
2011,1,1,0,35,6.18,-0.26
2011,1,1,0,40,6.16,-0.31
2011,1,1,0,45,6.11,-0.35000000000000003
2011,1,1,0,50,6.03,-0.38
2011,1,1,0,55,5.97,-0.4
2011,1,1,1,0,5.95,-0.42
2011,1,1,1,5,5.97,-0.44
2011,1,1,1,10,6.0200000000000005,-0.45
2011,1,1,1,15,6.0600000000000005,-0.46
2011,1,1,1,20,6.05,-0.47000000000000003
2011,1,1,1,25,6.0200000000000005,-0.49
2011,1,1,1,30,5.96,-0.5
2011,1,1,1,35,5.88,-0.51
2011,1,1,1,40,5.8,-0.52
2011,1,1,1,45,5.76,-0.53
2011,1,1,1,50,5.73,-0.53
2011,1,1,1,55,5.7,-0.53
2011,1,1,2,0,5.66,-0.52
2011,1,1,2,5,5.64,-0.51
2011,1,1,2,10,5.64,-0.5
2011,1,1,2,15,5.65,-0.5
2011,1,1,2,20,5.66,-0.51
2011,1,1,2,25,5.64,-0.52
2011,1,1,2,30,5.58,-0.53
2011,1,1,2,35,5.51,-0.54
2011,1,1,2,40,5.47,-0.56
2011,1,1,2,45,5.4,-0.5700000000000001
2011,1,1,2,50,5.33,-0.59
2011,1,1,2,55,5.29,-0.6
2011,1,1,3,0,5.26,-0.62
2011,1,1,3,5,5.25,-0.62
2011,1,1,3,10,5.26,-0.63
2011,1,1,3,15,5.28,-0.64
2011,1,1,3,20,5.3,-0.65
2011,1,1,3,25,5.32,-0.65
2011,1,1,3,30,5.33,-0.66
2011,1,1,3,35,5.33,-0.66
2011,1,1,3,40,5.36,-0.67
2011,1,1,3,45,5.39,-0.67
2011,1,1,3,50,5.37,-0.68
2011,1,1,3,55,5.37,-0.68
2011,1,1,4,0,5.42,-0.6900000000000001
2011,1,1,4,5,5.5,-0.68
2011,1,1,4,10,5.57,-0.67
2011,1,1,4,15,5.62,-0.66
2011,1,1,4,20,5.66,-0.65
2011,1,1,4,25,5.73,-0.63
2011,1,1,4,30,5.83,-0.63
2011,1,1,4,35,5.91,-0.62
2011,1,1,4,40,5.92,-0.62
2011,1,1,4,45,5.88,-0.62
2011,1,1,4,50,5.84,-0.63
2011,1,1,4,55,5.82,-0.64
2011,1,1,5,0,5.8500000000000005,-0.66
2011,1,1,5,5,5.9,-0.67
2011,1,1,5,10,5.94,-0.6900000000000001
2011,1,1,5,15,5.95,-0.71
2011,1,1,5,20,5.94,-0.72
2011,1,1,5,25,5.93,-0.73
2011,1,1,5,30,5.91,-0.75
2011,1,1,5,35,5.87,-0.76
2011,1,1,5,40,5.82,-0.78
2011,1,1,5,45,5.7700000000000005,-0.79
2011,1,1,5,50,5.71,-0.8
2011,1,1,5,55,5.69,-0.8200000000000001
2011,1,1,6,0,5.69,-0.8300000000000001
2011,1,1,6,5,5.68,-0.85
2011,1,1,6,10,5.67,-0.86
2011,1,1,6,15,5.66,-0.87
2011,1,1,6,20,5.67,-0.88
2011,1,1,6,25,5.73,-0.9
2011,1,1,6,30,5.79,-0.91
2011,1,1,6,35,5.8500000000000005,-0.92
2011,1,1,6,40,5.9,-0.93
2011,1,1,6,45,5.95,-0.93
2011,1,1,6,50,5.98,-0.93
2011,1,1,6,55,6.0200000000000005,-0.93
2011,1,1,7,0,6.0600000000000005,-0.92
2011,1,1,7,5,6.09,-0.91
2011,1,1,7,10,6.13,-0.89
2011,1,1,7,15,6.21,-0.88
2011,1,1,7,20,6.3100000000000005,-0.88
2011,1,1,7,25,6.38,-0.87
2011,1,1,7,30,6.38,-0.86
2011,1,1,7,35,6.38,-0.8300000000000001
2011,1,1,7,40,6.43,-0.8300000000000001
2011,1,1,7,45,6.44,-0.84
2011,1,1,7,50,6.38,-0.88
2011,1,1,7,55,6.29,-0.87
2011,1,1,8,0,6.2700000000000005,-0.85
2011,1,1,8,5,6.22,-0.85
2011,1,1,8,10,6.2,-0.87
2011,1,1,8,15,6.2,-0.88
2011,1,1,8,20,6.12,-0.87
2011,1,1,8,25,6.07,-0.86
2011,1,1,8,30,6.05,-0.84
2011,1,1,8,35,6.1000000000000005,-0.81
2011,1,1,8,40,6.08,-0.78
2011,1,1,8,45,6.09,-0.75
2011,1,1,8,50,6.09,-0.71
2011,1,1,8,55,6.0600000000000005,-0.67
2011,1,1,9,0,6.01,-0.62
2011,1,1,9,5,5.95,-0.54
2011,1,1,9,10,5.92,-0.46
2011,1,1,9,15,5.89,-0.38
2011,1,1,9,20,5.87,-0.29
2011,1,1,9,25,5.87,-0.22
2011,1,1,9,30,5.86,-0.13
2011,1,1,9,35,5.8100000000000005,-0.05
2011,1,1,9,40,5.7700000000000005,0.04
2011,1,1,9,45,5.76,0.12
2011,1,1,9,50,5.76,0.2
2011,1,1,9,55,5.79,0.27
2011,1,1,10,0,5.84,0.34
2011,1,1,10,5,5.82,0.41000000000000003
2011,1,1,10,10,5.7700000000000005,0.47000000000000003
2011,1,1,10,15,5.76,0.53
2011,1,1,10,20,5.78,0.6
2011,1,1,10,25,5.8,0.67
2011,1,1,10,30,5.84,0.74
2011,1,1,10,35,5.89,0.8
