SiteID,793363,Site Timezone,-7,Data Timezone,-7,Longitude,-105.914154053,Latitude,35.6785049438
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),air temperature at 100m (C)
2010,1,1,0,0,13.93,-6.61
2010,1,1,0,5,13.92,-6.62
2010,1,1,0,10,13.92,-6.62
2010,1,1,0,15,13.99,-6.6000000000000005
2010,1,1,0,20,14.13,-6.58
2010,1,1,0,25,14.26,-6.55
2010,1,1,0,30,14.33,-6.54
2010,1,1,0,35,14.31,-6.53
2010,1,1,0,40,14.27,-6.51
2010,1,1,0,45,14.19,-6.46
2010,1,1,0,50,14.02,-6.4
2010,1,1,0,55,13.76,-6.3100000000000005
2010,1,1,1,0,13.52,-6.2
2010,1,1,1,5,13.35,-6.09
2010,1,1,1,10,13.200000000000001,-5.96
2010,1,1,1,15,13.08,-5.8500000000000005
2010,1,1,1,20,13.01,-5.76
2010,1,1,1,25,13.01,-5.7
2010,1,1,1,30,13.01,-5.7
2010,1,1,1,35,12.94,-5.74
2010,1,1,1,40,12.870000000000001,-5.8
2010,1,1,1,45,12.86,-5.89
2010,1,1,1,50,12.870000000000001,-6
2010,1,1,1,55,12.91,-6.1000000000000005
2010,1,1,2,0,12.94,-6.19
2010,1,1,2,5,12.94,-6.25
2010,1,1,2,10,12.950000000000001,-6.2700000000000005
2010,1,1,2,15,13.05,-6.25
2010,1,1,2,20,13.19,-6.21
2010,1,1,2,25,13.31,-6.18
2010,1,1,2,30,13.4,-6.15
2010,1,1,2,35,13.4,-6.140000000000001
2010,1,1,2,40,13.35,-6.11
2010,1,1,2,45,13.33,-6.07
2010,1,1,2,50,13.34,-6
2010,1,1,2,55,13.34,-5.92
2010,1,1,3,0,13.32,-5.84
2010,1,1,3,5,13.3,-5.78
2010,1,1,3,10,13.26,-5.74
2010,1,1,3,15,13.26,-5.72
2010,1,1,3,20,13.3,-5.71
2010,1,1,3,25,13.370000000000001,-5.71
2010,1,1,3,30,13.44,-5.68
2010,1,1,3,35,13.46,-5.64
2010,1,1,3,40,13.48,-5.58
2010,1,1,3,45,13.48,-5.5
2010,1,1,3,50,13.43,-5.44
2010,1,1,3,55,13.42,-5.37
2010,1,1,4,0,13.450000000000001,-5.3
2010,1,1,4,5,13.52,-5.22
2010,1,1,4,10,13.6,-5.13
2010,1,1,4,15,13.66,-5.05
