SiteID,2179748,Site Timezone,-5,Data Timezone,-5,Longitude,-76.1702880859,Latitude,43.0673561096
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),air temperature at 100m (C)
2011,1,1,0,0,6.38,10.55
2011,1,1,0,5,6.49,10.51
2011,1,1,0,10,6.53,10.49
2011,1,1,0,15,6.42,10.47
2011,1,1,0,20,6.5,10.47
2011,1,1,0,25,6.61,10.5
2011,1,1,0,30,6.84,10.55
2011,1,1,0,35,7,10.620000000000001
2011,1,1,0,40,7.3500000000000005,10.700000000000001
2011,1,1,0,45,7.58,10.77
2011,1,1,0,50,7.73,10.83
2011,1,1,0,55,8.03,10.88
2011,1,1,1,0,8.38,10.91
2011,1,1,1,5,8.66,10.950000000000001
2011,1,1,1,10,8.76,11.02
2011,1,1,1,15,9.09,11.07
2011,1,1,1,20,9,11.09
2011,1,1,1,25,8.9,11.09
2011,1,1,1,30,8.85,11.07
2011,1,1,1,35,8.9,11.05
2011,1,1,1,40,8.84,11.02
2011,1,1,1,45,8.78,11
2011,1,1,1,50,8.72,11
2011,1,1,1,55,8.61,11.02
2011,1,1,2,0,8.19,11.02
2011,1,1,2,5,7.91,11
2011,1,1,2,10,7.55,10.99
2011,1,1,2,15,7.22,10.97
2011,1,1,2,20,6.98,10.99
2011,1,1,2,25,6.74,11.05
2011,1,1,2,30,6.54,11.1
2011,1,1,2,35,6.43,11.14
2011,1,1,2,40,6.25,11.15
2011,1,1,2,45,5.96,11.15
2011,1,1,2,50,5.71,11.120000000000001
2011,1,1,2,55,5.6000000000000005,11.09
2011,1,1,3,0,5.41,11.08
2011,1,1,3,5,5.29,11.14
2011,1,1,3,10,5.3100000000000005,11.21
2011,1,1,3,15,5.28,11.24
2011,1,1,3,20,5.2,11.25
2011,1,1,3,25,5.0600000000000005,11.26
2011,1,1,3,30,4.84,11.290000000000001
2011,1,1,3,35,4.68,11.33
2011,1,1,3,40,4.55,11.36
2011,1,1,3,45,4.42,11.38
2011,1,1,3,50,4.39,11.4
2011,1,1,3,55,4.26,11.44
2011,1,1,4,0,4.1,11.52
2011,1,1,4,5,4.0200000000000005,11.59
2011,1,1,4,10,4.09,11.65
2011,1,1,4,15,3.97,11.790000000000001
2011,1,1,4,20,4.13,11.96
2011,1,1,4,25,4.3100000000000005,12.08
2011,1,1,4,30,4.32,12.14
2011,1,1,4,35,4.3,12.16
2011,1,1,4,40,3.93,12.06
2011,1,1,4,45,3.62,11.89
2011,1,1,4,50,3.52,11.81
2011,1,1,4,55,3.49,11.82
2011,1,1,5,0,3.47,11.85
2011,1,1,5,5,3.38,11.86
2011,1,1,5,10,3.41,11.86
2011,1,1,5,15,3.56,11.89
2011,1,1,5,20,3.63,11.96
2011,1,1,5,25,3.73,12.01
2011,1,1,5,30,3.85,12.040000000000001
2011,1,1,5,35,4.16,12.05
2011,1,1,5,40,4.37,11.98
2011,1,1,5,45,4.61,11.82
2011,1,1,5,50,4.68,11.86
2011,1,1,5,55,5.04,11.9
2011,1,1,6,0,5.45,11.77
2011,1,1,6,5,6.18,11.59
2011,1,1,6,10,6.59,11.57
2011,1,1,6,15,7.04,11.5
2011,1,1,6,20,7.28,11.370000000000001
2011,1,1,6,25,7.25,11.31
2011,1,1,6,30,7.41,11.27
2011,1,1,6,35,7.47,11.42
2011,1,1,6,40,7.53,11.53
2011,1,1,6,45,7.54,11.56
2011,1,1,6,50,7.8,11.58
2011,1,1,6,55,8.24,11.57
2011,1,1,7,0,8.74,11.55
2011,1,1,7,5,9.1,11.47
2011,1,1,7,10,9.28,11.35
2011,1,1,7,15,9.36,11.22
2011,1,1,7,20,9.46,11.13
2011,1,1,7,25,9.6,11.06
2011,1,1,7,30,9.74,10.99
2011,1,1,7,35,9.790000000000001,10.9
2011,1,1,7,40,9.73,10.790000000000001
2011,1,1,7,45,9.68,10.700000000000001
2011,1,1,7,50,9.67,10.65
2011,1,1,7,55,9.67,10.61
2011,1,1,8,0,9.700000000000001,10.57
2011,1,1,8,5,9.76,10.49
2011,1,1,8,10,9.64,10.41
2011,1,1,8,15,9.290000000000001,10.32
2011,1,1,8,20,8.98,10.25
2011,1,1,8,25,8.84,10.19
2011,1,1,8,30,8.84,10.17
2011,1,1,8,35,8.86,10.19
2011,1,1,8,40,8.790000000000001,10.23
2011,1,1,8,45,8.620000000000001,10.27
2011,1,1,8,50,8.47,10.32
2011,1,1,8,55,8.45,10.370000000000001
2011,1,1,9,0,8.44,10.42
2011,1,1,9,5,8.42,10.46
2011,1,1,9,10,8.4,10.5
2011,1,1,9,15,8.36,10.56
2011,1,1,9,20,8.290000000000001,10.64
2011,1,1,9,25,8.3,10.75
2011,1,1,9,30,8.32,10.870000000000001
2011,1,1,9,35,8.51,10.96
2011,1,1,9,40,8.75,10.92
2011,1,1,9,45,8.96,10.8
2011,1,1,9,50,8.9,10.83
2011,1,1,9,55,8.44,11.03
2011,1,1,10,0,7.91,11.23
2011,1,1,10,5,7.43,11.36
2011,1,1,10,10,6.75,11.46
